,Bayesian S&P assessment,Bayesian permission,Bayesian data collection,Bayesian data sharing,Logistic Regression S&P assessment,Logistic Regression permission,Logistic Regression data collection,Logistic Regression data sharing
TP,286,15,21,36,697,15,12,25
TN,3,294,288,318,1,708,610,630
FP,438,0,0,0,27,0,9,11
FN,0,418,418,373,2,4,96,61
Percision,0.39502762430939226,1,1,1,0.962707182320442,1,0.5714285714285714,0.6944444444444444
Recall,1,0.03464203233256351,0.04783599088838269,0.08801955990220049,0.9971387696709585,0.7894736842105263,0.1111111111111111,0.29069767441860467
F1,0.5663366336633664,0.0669642857142857,0.09130434782608696,0.16179775280898878,0.9796205200281096,0.8823529411764706,0.18604651162790697,0.4098360655737705
Accuracy,0.39752407152682256,0.4250343878954608,0.4250343878954608,0.48693259972489683,0.9601100412654745,0.9944979367262724,0.8555708390646493,0.9009628610729024
